PointBiserialCoefficient	AttributeName
-0.29190149801162824	DGV_LOSS_n_samples_tested
-0.27724277463535774	DGV_LOSS_Frequency
-0.24443638385826272	DGV_LOSS_n_samples_with_SV
-0.19918744029143173	DGV_GAIN_n_samples_tested
-0.17381396407555574	DGV_GAIN_Frequency
-0.16959713802888227	DGV_GAIN_n_samples_with_SV
-0.1623595292011179	SV_length
0.1623595292011179	length
0.13862752205154724	id
0.1341659601166284	stop_ncbi36
-0.11819007368434531	GD_POPMAX_AF
-0.11415051084404801	GD_AF
0.10939431883268144	SV_end
0.1081995692367378	Unnamed: 0.1
0.1081995692367378	Unnamed: 0
0.09550908786579426	stop_grch37
-0.08994662737291989	1000g_max_AF
-0.08587996154661864	1000g_AF
0.08078480714032837	AnnotSV ranking
0.07889486079064541	CDS length
-0.07198370864614775	IMH_AF
0.060069132220148196	intersectEnd
0.0599729172355232	intersectStart
0.054357673710906315	tx length
0.04335535966751595	start_ncbi36
-0.040863405808730054	HI_DDDpercent
0.039926968058406224	pLI_ExAC
-0.025995722502118783	HI_CGscore
0.02389145671833945	misZ_ExAC
-0.01618553910901812	start_grch37
0.011242871012875938	cnvZ_ExAC
-0.005882074862409146	SV_start
-0.00568733915347051	synZ_ExAC
0.00238533128253155	dupZ_ExAC
0.0021496937618536447	delZ_ExAC
