TrainAccuracy	TrainPrecision	ValidationAccuracy	ValidationPrecision	NumberOfAttributes
0.9420341394025604	0.9421965317919075	0.9375	0.9505813953488372	1
0.9697724039829303	0.9814410480349345	0.9551991150442478	0.9407216494845361	2
0.9802038880986249	0.9925531914893617	0.9668141592920354	0.9641943734015346	3
0.9826932195353248	0.9936742224565103	0.9684734513274337	0.9621212121212122	4
0.9844713134186819	0.9896265560165975	0.9673672566371682	0.9619289340101523	5
0.9925320056899004	0.9954407294832827	0.9651548672566371	0.9477611940298507	6
0.9925320056899004	0.9954407294832827	0.9651548672566371	0.9477611940298507	7
0.9925320056899004	0.9954407294832827	0.9651548672566371	0.9477611940298507	8
