TrainAccuracy	TrainPrecision	ValidationAccuracy	ValidationPrecision	NumberOfAttributes
0.7905497115710892	0.9191572758451739	0.7949326999208234	0.915948275862069	1
0.914743807261622	0.928706454226303	0.9220110847189232	0.9243697478991597	2
0.9551238547675602	0.969159599074788	0.943784639746635	0.9359267734553776	3
0.9597896165592128	0.9727040816326531	0.9493269992082344	0.944954128440367	4
0.9686969799796403	0.9720089175130047	0.953285827395091	0.9425675675675675	5
0.9748897183576518	0.9787968441814595	0.9552652414885194	0.9418994413407821	6
0.9829487614523243	0.9841810659527865	0.9615993665874901	0.9429198682766191	7
0.9845605700712589	0.9863746958637469	0.9608076009501187	0.940854326396495	8
