TrainAccuracy	TrainPrecision	ValidationAccuracy	ValidationPrecision	NumberOfAttributes
0.9420341394025604	0.9421965317919075	0.9375	0.9505813953488372	1
0.9606448553816975	0.9714924538848518	0.9535398230088495	0.959349593495935	2
0.9677572309151257	0.981267217630854	0.9513274336283186	0.9373368146214099	3
0.9824561403508771	0.9931470743278862	0.9684734513274337	0.9597989949748744	4
0.9896870554765291	0.9943705220061413	0.9706858407079646	0.9625	5
0.9925320056899004	0.9954407294832827	0.9651548672566371	0.9477611940298507	6
