Counts of wrong predictions in unclassified region	PathogenicStart	PathogenicEnd	Accuracy	Precision	Recall	Specificity	Index
1	2.1767553334939294e-05	0.0002811687591020018	0.3975373790677221	0.39727232732072154	1.0	0.0007293946024799417	0
1	2.221412978542503e-05	0.0002811687591020018	0.39797713280562885	0.39744718309859156	1.0	0.0014587892049598833	1
1	2.5136687327176332e-05	0.0002811687591020018	0.39841688654353563	0.39762219286657857	1.0	0.002188183807439825	2
1	2.534712439228315e-05	0.0002811687591020018	0.3988566402814424	0.39779735682819384	1.0	0.0029175784099197666	3
1	2.630631388456095e-05	0.0002811687591020018	0.3992963940193492	0.39797267518730717	1.0	0.0036469730123997084	4
1	2.682478771021124e-05	0.0002811687591020018	0.3997361477572559	0.39814814814814814	1.0	0.00437636761487965	5
1	2.695274270081427e-05	0.0002811687591020018	0.4001759014951627	0.3983237759153066	1.0	0.005105762217359592	6
1	2.796730404952541e-05	0.0002811687591020018	0.40061565523306947	0.39849955869373344	1.0	0.005835156819839533	7
1	3.244794061174616e-05	0.0002811687591020018	0.40105540897097625	0.39867549668874175	1.0	0.006564551422319475	8
1	3.2531872420804575e-05	0.0002811687591020018	0.401495162708883	0.39885159010600707	1.0	0.007293946024799417	9
1	3.283990008640103e-05	0.00028242639382369816	0.4019349164467898	0.3990278391515687	1.0	0.008023340627279359	10
1	3.286875653429888e-05	0.0002841899113263935	0.4023746701846966	0.39920424403183025	1.0	0.0087527352297593	11
1	3.286875653429888e-05	0.00028666327125392854	0.40281442392260336	0.3993808049535604	1.0	0.009482129832239242	12
1	3.426401235628873e-05	0.00028789989301003516	0.40325417766051014	0.3995575221238938	1.0	0.010211524434719184	13
1	3.426401235628873e-05	0.00029678529244847596	0.40369393139841686	0.399734395750332	1.0	0.010940919037199124	14
1	3.426401235628873e-05	0.00029753692797385156	0.40413368513632364	0.39991142604074403	1.0	0.011670313639679067	15
1	3.4748918551485986e-05	0.00030412201886065304	0.4045734388742304	0.4000886132033673	1.0	0.012399708242159009	16
1	3.4748918551485986e-05	0.0003043175092898309	0.4050131926121372	0.4002659574468085	1.0	0.01312910284463895	17
1	3.5006956750294194e-05	0.0003043175092898309	0.405452946350044	0.40044345898004435	1.0	0.013858497447118891	18
1	3.6695520975627005e-05	0.00030817906372249126	0.40589270008795075	0.40062111801242234	1.0	0.014587892049598834	19
1	3.7174402677919716e-05	0.000308371294522658	0.40633245382585753	0.4007989347536618	1.0	0.015317286652078774	20
1	3.75199451809749e-05	0.0003095061401836574	0.4067722075637643	0.40097690941385433	1.0	0.016046681254558718	21
1	3.9695220038993284e-05	0.00031137754558585584	0.4072119613016711	0.40115504220346515	1.0	0.016776075857038657	22
1	4.076810728292912e-05	0.0003114001010544598	0.4076517150395778	0.4013333333333333	1.0	0.0175054704595186	23
1	4.1667528421385214e-05	0.00031331731588579714	0.4080914687774846	0.40151178301467316	1.0	0.01823486506199854	24
1	4.168883242527954e-05	0.0003206505498383194	0.40853122251539137	0.40169039145907476	1.0	0.018964259664478483	25
1	4.204159995424561e-05	0.0003255500050727278	0.40897097625329815	0.40186915887850466	1.0	0.019693654266958426	26
1	4.296342012821697e-05	0.000325584172969684	0.4094107299912049	0.40204808548530724	1.0	0.020423048869438368	27
1	4.296342012821697e-05	0.0003279874217696488	0.4098504837291117	0.4022271714922049	1.0	0.021152443471918306	28
1	4.296342012821697e-05	0.00032920888043008745	0.4102902374670185	0.40240641711229946	1.0	0.02188183807439825	29
1	4.296342012821697e-05	0.00033153800177387893	0.41072999120492526	0.40258582255907266	1.0	0.02261123267687819	30
1	4.296342012821697e-05	0.0003340823168400675	0.41116974494283204	0.4027653880463872	1.0	0.023340627279358133	31
1	4.296342012821697e-05	0.0003350983024574816	0.41160949868073876	0.4029451137884873	1.0	0.024070021881838075	32
1	4.349363734945655e-05	0.0003350983024574816	0.41204925241864554	0.403125	1.0	0.024799416484318017	33
1	4.493635060498491e-05	0.0003356274391990155	0.4124890061565523	0.40330504689593566	1.0	0.025528811086797956	34
1	4.4962624087929726e-05	0.0003371920611243695	0.4129287598944591	0.403485254691689	1.0	0.0262582056892779	35
1	4.516865374171175e-05	0.0003390225756447762	0.4133685136323659	0.40366562360303976	1.0	0.02698760029175784	36
1	4.516865374171175e-05	0.0003423689922783524	0.41380826737027265	0.40384615384615385	1.0	0.027716994894237783	37
1	4.9046004278352484e-05	0.00034353966475464404	0.41424802110817943	0.4040268456375839	1.0	0.028446389496717725	38
1	5.006163701182231e-05	0.00034680450335144997	0.4146877748460862	0.40420769919427035	1.0	0.029175784099197667	39
1	5.271497502690181e-05	0.00034769580815918744	0.415127528583993	0.4043887147335423	1.0	0.029905178701677606	40
1	5.271497502690181e-05	0.00034943493665196	0.4155672823218997	0.40456989247311825	1.0	0.030634573304157548	41
1	5.271497502690181e-05	0.0003518044832162559	0.4160070360598065	0.4047512326311071	1.0	0.031363967906637494	42
1	5.271497502690181e-05	0.0003533742274157703	0.41644678979771327	0.404932735426009	1.0	0.032093362509117436	43
1	5.2917956054443493e-05	0.0003533742274157703	0.41688654353562005	0.40511440107671604	1.0	0.03282275711159737	44
1	5.2917956054443493e-05	0.0003558761964086443	0.4173262972735268	0.40529622980251345	1.0	0.03355215171407731	45
1	5.528351539396681e-05	0.00036209143581800163	0.4177660510114336	0.40547822182308035	1.0	0.034281546316557256	46
1	5.552232323680073e-05	0.0003628407430369407	0.4182058047493404	0.4056603773584906	1.0	0.0350109409190372	47
1	5.55527294636704e-05	0.0003628407430369407	0.41864555848724716	0.40584269662921346	1.0	0.03574033552151714	48
1	5.644009434035979e-05	0.00036298917257227004	0.41908531222515394	0.4060251798561151	1.0	0.03646973012399708	49
1	5.6485649110982195e-05	0.00036321693914942443	0.41952506596306066	0.40620782726045884	1.0	0.037199124726477024	50
1	5.697306914953515e-05	0.00036321693914942443	0.41996481970096744	0.4063906390639064	1.0	0.03792851932895697	51
1	6.097592995502055e-05	0.00036321693914942443	0.4204045734388742	0.40657361548851867	1.0	0.03865791393143691	52
1	6.225943070603535e-05	0.0003639186325017363	0.420844327176781	0.40675675675675677	1.0	0.03938730853391685	53
1	6.231573934201151e-05	0.000365271233022213	0.4212840809146878	0.4069400630914827	1.0	0.04011670313639679	54
1	6.388467591023073e-05	0.0003654063621070236	0.42172383465259455	0.4071235347159603	1.0	0.040846097738876735	55
1	6.477256101788953e-05	0.0003654063621070236	0.42216358839050133	0.40730717185385656	1.0	0.04157549234135667	56
1	6.632127042394131e-05	0.0003654063621070236	0.4226033421284081	0.4074909747292419	1.0	0.04230488694383661	57
1	6.673860480077565e-05	0.0003654063621070236	0.4230430958663149	0.4076749435665914	1.0	0.043034281546316555	58
1	6.732212932547554e-05	0.0003654063621070236	0.4234828496042216	0.4078590785907859	1.0	0.0437636761487965	59
1	6.732354813721031e-05	0.0003654063621070236	0.4239226033421284	0.4080433800271125	1.0	0.04449307075127644	60
1	6.758135714335367e-05	0.0003654063621070236	0.42436235708003517	0.40822784810126583	1.0	0.04522246535375638	61
1	6.758135714335367e-05	0.0003654063621070236	0.42480211081794195	0.4084124830393487	1.0	0.045951859956236324	62
1	6.758135714335367e-05	0.0003654063621070236	0.4252418645558487	0.4085972850678733	1.0	0.046681254558716266	63
1	6.868030322948471e-05	0.0003654063621070236	0.4256816182937555	0.40878225441376187	1.0	0.04741064916119621	64
1	6.868030322948471e-05	0.0003654063621070236	0.4261213720316623	0.40896739130434784	1.0	0.04814004376367615	65
1	6.887529161758721e-05	0.0003654063621070236	0.42656112576956906	0.4091526959673765	1.0	0.04886943836615609	66
1	6.963012128835544e-05	0.0003654063621070236	0.42700087950747584	0.40933816863100636	1.0	0.049598832968636035	67
1	7.083225500537083e-05	0.0003659695794340223	0.42744063324538256	0.4095238095238095	1.0	0.05032822757111598	68
1	7.217404345283285e-05	0.00036606972571462393	0.42788038698328934	0.40970961887477314	1.0	0.05105762217359591	69
1	7.36188521841541e-05	0.00036843930138275027	0.4283201407211961	0.4098955969133	1.0	0.051787016776075855	70
1	7.787942013237625e-05	0.00036845632712356746	0.4287598944591029	0.4100817438692098	1.0	0.0525164113785558	71
1	7.787942013237625e-05	0.0003702630347106606	0.4291996481970097	0.4102680599727397	1.0	0.05324580598103574	72
1	7.968699355842546e-05	0.0003706981660798192	0.42963940193491645	0.41045454545454546	1.0	0.05397520058351568	73
1	8.018528751563281e-05	0.00037542410427704453	0.43007915567282323	0.4106412005457026	1.0	0.05470459518599562	74
1	8.17591862869449e-05	0.000375474919565022	0.43051890941073	0.410828025477707	1.0	0.055433989788475566	75
1	8.17591862869449e-05	0.0003800546401180327	0.4309586631486368	0.4110150204824761	1.0	0.05616338439095551	76
1	8.17591862869449e-05	0.000381059740902856	0.4313984168865435	0.41120218579234974	1.0	0.05689277899343545	77
1	8.17591862869449e-05	0.0003867559425998479	0.4318381706244503	0.4113895216400911	1.0	0.05762217359591539	78
1	8.314247679663822e-05	0.00038790577673353255	0.43227792436235707	0.41157702825888787	1.0	0.058351568198395334	79
1	8.331160643137991e-05	0.00039074168307706714	0.43271767810026385	0.4117647058823529	1.0	0.05908096280087528	80
1	8.336429164046422e-05	0.0003925242053810507	0.4331574318381706	0.4119525547445255	1.0	0.05981035740335521	81
1	8.436883945250884e-05	0.00039381615351885557	0.4335971855760774	0.41214057507987223	1.0	0.060539752005835154	82
1	8.436883945250884e-05	0.0003980686597060412	0.4340369393139842	0.4123287671232877	1.0	0.061269146608315096	83
1	8.436883945250884e-05	0.0003980686597060412	0.43447669305189096	0.4125171311100959	1.0	0.06199854121079504	84
1	8.585349132772535e-05	0.0003980686597060412	0.43491644678979774	0.4127056672760512	1.0	0.06272793581327499	85
1	8.897845691535622e-05	0.0003980686597060412	0.43535620052770446	0.41289437585733885	1.0	0.06345733041575492	86
1	8.956259989645332e-05	0.0003980686597060412	0.43579595426561124	0.4130832570905764	1.0	0.06418672501823487	87
1	9.030535875353962e-05	0.00040176877519115806	0.436235708003518	0.41327231121281466	1.0	0.06491611962071481	88
1	9.030535875353962e-05	0.0004025640955660492	0.4366754617414248	0.41346153846153844	1.0	0.06564551422319474	89
1	9.066802158486098e-05	0.00040510488906875253	0.4371152154793316	0.4136509390746679	1.0	0.06637490882567469	90
1	9.066802158486098e-05	0.0004082158557139337	0.43755496921723835	0.4138405132905591	1.0	0.06710430342815463	91
1	9.072103421203792e-05	0.00040917019941844046	0.43799472295514513	0.4140302613480055	1.0	0.06783369803063458	92
1	9.072675311472267e-05	0.0004137629584874958	0.4384344766930519	0.4142201834862385	1.0	0.06856309263311451	93
1	9.161482739727944e-05	0.0004144725389778614	0.4388742304309587	0.41441027994492885	1.0	0.06929248723559446	94
1	9.232855518348515e-05	0.0004149437590967864	0.4393139841688654	0.41460055096418735	1.0	0.0700218818380744	95
1	9.310153109254315e-05	0.0004149437590967864	0.4397537379067722	0.41479099678456594	1.0	0.07075127644055434	96
1	9.598847827874124e-05	0.0004149437590967864	0.44019349164467897	0.4149816176470588	1.0	0.07148067104303428	97
1	9.701784438220784e-05	0.0004149437590967864	0.44063324538258575	0.41517241379310343	1.0	0.07221006564551423	98
1	9.789260366233066e-05	0.0004153084591962397	0.4410729991204925	0.4153633854645814	1.0	0.07293946024799416	99
1	9.988735109800473e-05	0.0004153084591962397	0.4415127528583993	0.4155545329038196	1.0	0.0736688548504741	100
1	0.0001016794703900814	0.0004155914066359401	0.4419525065963061	0.4157458563535912	1.0	0.07439824945295405	101
1	0.0001016794703900814	0.0004189665778540075	0.44239226033421286	0.4159373560571165	1.0	0.07512764405543398	102
1	0.00010204935824731365	0.00041899533243849874	0.44283201407211964	0.4161290322580645	1.0	0.07585703865791393	103
1	0.00010352426033932716	0.00041899533243849874	0.44327176781002636	0.41632088520055327	1.0	0.07658643326039387	104
1	0.00010352426033932716	0.0004205044242553413	0.44371152154793314	0.4165129151291513	1.0	0.07731582786287382	105
1	0.00010649322939570993	0.0004208982572890818	0.4441512752858399	0.4167051222888786	1.0	0.07804522246535375	106
1	0.00010791909153340384	0.0004307935305405408	0.4445910290237467	0.4168975069252078	1.0	0.0787746170678337	107
1	0.00010884406947297975	0.00043140319758094847	0.4450307827616535	0.41709006928406467	1.0	0.07950401167031364	108
1	0.00010899456538027152	0.00043355789966881275	0.44547053649956025	0.41728280961182995	1.0	0.08023340627279359	109
1	0.00010974462929880247	0.00043530945549719036	0.44591029023746703	0.4174757281553398	1.0	0.08096280087527352	110
1	0.00010974462929880247	0.0004353825352154672	0.4463500439753738	0.41766882516188714	1.0	0.08169219547775347	111
1	0.00010974462929880247	0.0004353825352154672	0.4467897977132806	0.4178621008792226	1.0	0.0824215900802334	112
1	0.00011123321746708825	0.00043699663365259767	0.4472295514511873	0.41805555555555557	1.0	0.08315098468271334	113
1	0.00011208811338292435	0.0004398378951009363	0.4476693051890941	0.41824918943955536	1.0	0.08388037928519329	114
1	0.00011243976769037545	0.0004399108584038913	0.44810905892700087	0.4184430027803522	1.0	0.08460977388767323	115
1	0.00011398524657124653	0.0004399108584038913	0.44854881266490765	0.41863699582753827	1.0	0.08533916849015317	116
1	0.00011497173545649275	0.0004418842727318406	0.4489885664028144	0.41883116883116883	1.0	0.08606856309263311	117
1	0.00011557630205061287	0.0004418842727318406	0.4494283201407212	0.41902552204176335	1.0	0.08679795769511306	118
1	0.0001159415696747601	0.0004418842727318406	0.449868073878628	0.4192200557103064	1.0	0.087527352297593	119
1	0.00011622293823165819	0.0004418842727318406	0.45030782761653476	0.41941477008824896	1.0	0.08825674690007294	120
1	0.00011926057050004601	0.00044213165529072285	0.45074758135444154	0.41960966542750927	1.0	0.08898614150255288	121
1	0.00012005151074845344	0.000444314704509452	0.45118733509234826	0.4198047419804742	1.0	0.08971553610503283	122
1	0.00012150654220022261	0.000447968952357769	0.45162708883025504	0.42	1.0	0.09044493070751276	123
1	0.00012161677295807749	0.00044838865869678557	0.4520668425681618	0.4201954397394137	1.0	0.09117432530999271	124
1	0.00012254550529178232	0.00045512020005844533	0.4525065963060686	0.420391061452514	1.0	0.09190371991247265	125
1	0.0001268255291506648	0.0004575614002533257	0.4529463500439754	0.42058686539357243	1.0	0.09263311451495258	126
1	0.0001282978046219796	0.00046009206562303007	0.45338610378188215	0.4207828518173346	1.0	0.09336250911743253	127
1	0.00012869405327364802	0.0004604322894010693	0.45382585751978893	0.42097902097902096	1.0	0.09409190371991247	128
1	0.00013278110418468714	0.0004609258903656155	0.4542656112576957	0.42117537313432835	1.0	0.09482129832239242	129
1	0.00013425822544377297	0.00046266044955700636	0.4547053649956025	0.4213719085394307	1.0	0.09555069292487235	130
1	0.0001354648411506787	0.00046266044955700636	0.4551451187335092	0.4215686274509804	1.0	0.0962800875273523	131
1	0.00013607097207568586	0.00046266044955700636	0.455584872471416	0.4217655301261093	1.0	0.09700948212983224	132
1	0.00013809137453790754	0.00046266044955700636	0.45602462620932277	0.4219626168224299	1.0	0.09773887673231219	133
1	0.00013969201245345175	0.00046266044955700636	0.45646437994722955	0.4221598877980365	1.0	0.09846827133479212	134
1	0.00013982794189359993	0.00046266044955700636	0.4569041336851363	0.4223573433115061	1.0	0.09919766593727207	135
1	0.00014019668742548674	0.00046266044955700636	0.4573438874230431	0.42255498362189986	1.0	0.099927060539752	136
1	0.00014019668742548674	0.00046266044955700636	0.4577836411609499	0.42275280898876405	1.0	0.10065645514223195	137
1	0.00014052835467737168	0.0004650785122066736	0.45822339489885666	0.42295081967213116	1.0	0.10138584974471189	138
1	0.00014335989544633776	0.00046641414519399405	0.4586631486367634	0.4231490159325211	1.0	0.10211524434719182	139
