Counts of wrong predictions in unclassified region	PathogenicStart	PathogenicEnd	Accuracy	Precision	Recall	Specificity	Index
0	1.4341620953928214e-05	8.663329208502546e-05	0.2467986030267753	0.24635993011065813	1.0	0.0007722007722007722	0
0	1.4371192264661659e-05	8.676962897880003e-05	0.24738067520372525	0.2465034965034965	1.0	0.0015444015444015444	1
0	1.5776076907059178e-05	8.685572538524866e-05	0.2479627473806752	0.2466472303206997	1.0	0.0023166023166023165	2
0	1.7014262994052842e-05	8.775619062362239e-05	0.24854481955762514	0.2467911318553092	1.0	0.003088803088803089	3
0	1.7014262994052842e-05	8.930810872698203e-05	0.24912689173457508	0.2469352014010508	1.0	0.003861003861003861	4
0	1.9525326933944598e-05	8.969284681370482e-05	0.24970896391152503	0.24707943925233644	1.0	0.004633204633204633	5
0	1.9525326933944598e-05	9.145919466391206e-05	0.25029103608847497	0.2472238457042665	1.0	0.005405405405405406	6
0	2.0339370166766457e-05	9.402513387612998e-05	0.2508731082654249	0.24736842105263157	1.0	0.006177606177606178	7
0	2.1298368665156886e-05	9.440966823603958e-05	0.25145518044237486	0.24751316559391456	1.0	0.0069498069498069494	8
0	2.1960693629807793e-05	9.460432920604944e-05	0.2520372526193248	0.24765807962529274	1.0	0.007722007722007722	9
0	2.1960693629807793e-05	9.479151776758954e-05	0.25261932479627475	0.2478031634446397	1.0	0.008494208494208495	10
0	2.1960693629807793e-05	9.578302706358954e-05	0.2532013969732247	0.24794841735052756	1.0	0.009266409266409266	11
0	2.1960693629807793e-05	9.793518256628886e-05	0.25378346915017463	0.24809384164222875	1.0	0.010038610038610039	12
0	2.5938103135558777e-05	9.96268936432898e-05	0.2543655413271246	0.2482394366197183	1.0	0.010810810810810811	13
0	2.6138990506296977e-05	9.979052993003279e-05	0.2549476135040745	0.24838520258367586	1.0	0.011583011583011582	14
0	2.6138990506296977e-05	9.994490392273292e-05	0.25552968568102447	0.24853113983548766	1.0	0.012355212355212355	15
0	2.6138990506296977e-05	0.00010111489245900884	0.2561117578579744	0.24867724867724866	1.0	0.013127413127413128	16
0	2.6810210329131223e-05	0.0001021422358462587	0.25669383003492435	0.2488235294117647	1.0	0.013899613899613899	17
0	2.749024861259386e-05	0.0001021422358462587	0.2572759022118743	0.24896998234255444	1.0	0.014671814671814672	18
0	2.749024861259386e-05	0.0001021422358462587	0.25785797438882424	0.24911660777385158	1.0	0.015444015444015444	19
0	2.8115719032939523e-05	0.00010257238318445161	0.25844004656577413	0.24926340601060695	1.0	0.016216216216216217	20
0	2.867800139938481e-05	0.00010307371121598408	0.2590221187427241	0.24941037735849056	1.0	0.01698841698841699	21
0	3.05983739963267e-05	0.0001032379805110395	0.259604190919674	0.24955752212389382	1.0	0.01776061776061776	22
0	3.246911001042463e-05	0.00010333045793231577	0.26018626309662396	0.24970484061393153	1.0	0.018532818532818532	23
0	3.3415908546885476e-05	0.00010366838978370652	0.2607683352735739	0.24985233313644417	1.0	0.019305019305019305	24
0	3.5547469451557845e-05	0.00010426978406030685	0.26135040745052385	0.25	1.0	0.020077220077220077	25
0	3.795336670009419e-05	0.0001049754282576032	0.2619324796274738	0.25014784151389713	1.0	0.02084942084942085	26
0	3.795336670009419e-05	0.0001049754282576032	0.26251455180442373	0.25029585798816567	1.0	0.021621621621621623	27
0	3.823917722911574e-05	0.00010502799705136567	0.2630966239813737	0.25044404973357015	1.0	0.022393822393822392	28
0	3.836116593447514e-05	0.00010531813313718885	0.2636786961583236	0.2505924170616114	1.0	0.023166023166023165	29
0	3.8927435525693e-05	0.00010622163244988769	0.26426076833527357	0.25074096028452875	1.0	0.023938223938223938	30
0	3.8927435525693e-05	0.00010741858568508178	0.2648428405122235	0.2508896797153025	1.0	0.02471042471042471	31
0	3.8927435525693e-05	0.00010810510866576806	0.26542491268917345	0.2510385756676558	1.0	0.025482625482625483	32
0	4.081217775819823e-05	0.00011011329479515553	0.2660069848661234	0.251187648456057	1.0	0.026254826254826256	33
0	4.081217775819823e-05	0.0001102591268136166	0.26658905704307334	0.25133689839572193	1.0	0.02702702702702703	34
0	4.081217775819823e-05	0.00011031833855668083	0.2671711292200233	0.25148632580261593	1.0	0.027799227799227798	35
0	4.1439438064116985e-05	0.00011088575411122292	0.26775320139697323	0.25163593099345627	1.0	0.02857142857142857	36
0	4.2362353269709274e-05	0.00011093535431427881	0.26833527357392317	0.2517857142857143	1.0	0.029343629343629343	37
0	4.31045082223136e-05	0.00011098190589109436	0.2689173457508731	0.2519356759976176	1.0	0.030115830115830116	38
0	4.485778117668815e-05	0.00011124860611744225	0.26949941792782306	0.2520858164481526	1.0	0.03088803088803089	39
0	4.584344424074516e-05	0.00011140125570818782	0.270081490104773	0.2522361359570662	1.0	0.03166023166023166	40
0	4.630125476978719e-05	0.00011187828204128891	0.27066356228172295	0.25238663484486873	1.0	0.032432432432432434	41
0	4.630125476978719e-05	0.00011336110037518665	0.2712456344586729	0.2525373134328358	1.0	0.033204633204633204	42
0	4.747887214762159e-05	0.00011370168795110658	0.27182770663562283	0.25268817204301075	1.0	0.03397683397683398	43
0	4.779290611622855e-05	0.00011392026499379426	0.2724097788125728	0.25283921099820683	1.0	0.03474903474903475	44
0	4.779290611622855e-05	0.00011739347246475518	0.2729918509895227	0.25299043062200954	1.0	0.03552123552123552	45
0	4.793079278897494e-05	0.00011739347246475518	0.27357392316647267	0.25314183123877915	1.0	0.036293436293436294	46
0	4.861332490690984e-05	0.00011772707512136549	0.2741559953434226	0.25329341317365267	1.0	0.037065637065637064	47
